Grid_ID,Temperature_Difference_Mid_Century,Temperature_Difference_End_of_Century
238,2.5466766,5.711014
239,2.5478973,5.7187653
240,2.5481873,5.725662
241,2.552124,5.734787
242,2.548233,5.736969
243,2.5602875,5.7415924
244,2.5578156,5.749069
245,2.5643463,5.756424
246,2.5747223,5.768387
247,2.5757751,5.780655
248,2.5897827,5.786194
249,2.5812378,5.778366
250,2.592865,5.7881165
251,2.584381,5.800949
252,2.596634,5.813568
253,2.5988007,5.8134766
254,2.589325,5.8140106
255,2.6035461,5.830429
256,2.5962067,5.818329
257,2.6060944,5.835785
258,2.6068878,5.843155
259,2.6098175,5.840973
260,2.6053162,5.8441315
261,2.6024323,5.8441315
262,2.6009521,5.849701
263,2.606308,5.8472443
264,2.605133,5.87059
265,2.6053314,5.866089
266,2.6086578,5.8685303
267,2.615036,5.8791656
268,2.61174,5.872589
269,2.6058502,5.8751526
270,2.5978088,5.876358
271,2.6083374,5.8759766
272,2.603836,5.883499
273,2.5982819,5.874771
274,2.5909882,5.875946
275,2.5905304,5.8809204
276,2.5980377,5.881119
277,2.6003265,5.886902
278,2.5914612,5.8790894
279,2.5891266,5.87648
280,2.591385,5.8784485
281,2.5917664,5.871399
282,2.5825806,5.868637
283,2.5808716,5.8748627
284,2.572342,5.867035
285,2.5665436,5.8692017
286,2.5752258,5.865082
287,2.574295,5.86644
288,2.5693054,5.8584137
289,2.5730438,5.8558197
290,2.5678558,5.8470306
291,2.5674744,5.8453064
292,2.5628662,5.844696
293,2.564087,5.834198
294,2.5540771,5.828964
295,2.5608673,5.827759
296,2.5449371,5.8105316
297,2.53891,5.809143
298,2.5347443,5.802841
299,2.532669,5.7954865
300,2.5276794,5.795517
301,2.5258636,5.78244
302,2.5303955,5.783386
303,2.5093994,5.7676086
304,2.511551,5.7742767
305,2.5148468,5.7728577
306,2.5048676,5.7502594
307,2.4960175,5.7545776
308,2.5091095,5.7573395
309,2.487259,5.739517
310,2.4824677,5.724228
311,2.4786682,5.727524
312,2.474762,5.7254486
313,2.4596558,5.714508
314,2.4563446,5.709244
315,2.4600677,5.6969757
316,2.4519348,5.68042
317,2.4510956,5.684967
318,2.445465,5.668335
319,2.448532,5.6660156
320,2.4297638,5.6584625
321,2.426941,5.656952
322,2.4280243,5.647339
323,2.4146729,5.636673
324,2.4127655,5.634079
325,2.399414,5.6194763
326,2.4022827,5.622864
327,2.3959656,5.6144104
328,2.385254,5.596298
329,2.3798523,5.5971985
330,2.374466,5.585968
331,2.3682861,5.588333
332,2.3580475,5.565613
333,2.3592072,5.5681
334,2.3596802,5.567734
335,2.3497314,5.5553436
336,2.3614655,5.5496826
337,2.3431091,5.534134
338,2.3381805,5.53537
339,2.334076,5.5307007
340,2.3284302,5.5234222
341,2.3167572,5.5203857
342,2.3162842,5.514923
343,2.311081,5.510132
344,2.3108063,5.5120697
345,2.3008575,5.506485
346,2.2964478,5.497513
347,2.2965088,5.498535
348,2.3050232,5.50856
349,2.2818146,5.488861
350,2.2923737,5.488617
351,2.2843018,5.494934
352,2.2717896,5.476837
353,2.2832794,5.4775085
354,2.280243,5.4727936
355,2.2719727,5.4662933
356,2.2672577,5.4491577
357,2.2659454,5.454941
358,2.2608032,5.453369
359,2.2562103,5.4467773
360,2.262909,5.4479218
361,2.2550354,5.4364777
362,2.2520752,5.433243
363,2.243805,5.4323425
364,2.2408142,5.422043
365,2.2420044,5.4149475
366,2.2335052,5.4179077
367,2.226654,5.4094696
368,2.2300568,5.415619
369,2.2135315,5.3941345
370,2.210144,5.399185
371,2.2017975,5.392914
372,2.2000427,5.3815155
373,2.1984863,5.3892517
374,2.1952362,5.3771057
375,2.1902008,5.383484
376,2.1856842,5.373474
377,2.1926727,5.3823395
378,2.1868134,5.379944
379,2.1948853,5.3693695
380,2.191574,5.376404
381,2.1888428,5.379242
382,2.1848145,5.3667603
383,2.1813965,5.3586426
384,2.2987213,5.570587
385,2.288971,5.5677185
386,2.2910461,5.5686646
387,2.289322,5.5572357
388,2.2820587,5.5657196
389,2.2726288,5.5593567
390,2.2662811,5.55188
391,2.2644958,5.555374
392,2.2568207,5.554413
393,2.2564392,5.5567474
394,2.2605438,5.5677185
395,2.2468414,5.559967
396,2.239746,5.5587006
397,2.2351837,5.5561066
398,2.235489,5.571121
399,2.2177582,5.563446
400,2.2210388,5.5675354
401,2.204239,5.566269
402,2.206894,5.5532837
403,2.202942,5.5521545
404,2.1909485,5.5480804
405,2.1828766,5.5344543
406,2.1886902,5.5477448
407,2.1826935,5.537857
408,2.1710205,5.5327606
409,2.1678467,5.5331726
410,2.1686554,5.5253296
411,2.1607056,5.5188293
412,2.1503754,5.5111084
413,2.1603699,5.5292816
414,2.1514587,5.519577
415,2.153885,5.519455
416,2.1466217,5.514633
417,2.138855,5.507187
418,2.1464539,5.5129547
419,2.133789,5.505081
420,2.1216278,5.505722
421,2.1165924,5.4915466
422,2.1009827,5.4918976
423,2.1087952,5.4987335
424,2.1008759,5.4911346
425,2.1050415,5.4979706
426,2.1154022,5.5018005
427,2.1166382,5.5068207
428,2.107788,5.5124207
429,2.111679,5.4983826
430,2.1068115,5.501114
431,2.1023407,5.4999847
432,2.0916443,5.5059204
433,2.0867767,5.507553
434,2.0992584,5.521042
435,2.0984955,5.5230865
436,2.0981293,5.505066
437,2.1053772,5.5050354
438,2.0961914,5.5117493
439,2.1062927,5.511154
440,2.0982513,5.5147247
441,2.1025085,5.5199127
442,2.1013947,5.5184326
443,2.0906982,5.5098724
444,2.0976715,5.5072784
445,2.0899048,5.496933
446,2.090149,5.4831696
447,2.0792084,5.4792633
448,2.0735474,5.477051
449,2.0777283,5.4790497
450,2.0833588,5.4793854
451,2.0789185,5.4768066
452,2.0625,5.4725037
453,2.0794373,5.478134
454,2.0812073,5.4703217
455,2.0957794,5.476593
456,2.0971527,5.468109
457,2.0857697,5.4541626
458,2.0861359,5.4617157
459,2.0829468,5.4479675
460,2.0907288,5.454468
461,2.0869446,5.459732
462,2.083252,5.4844055
463,2.0799255,5.4977417
464,2.0944672,5.484497
465,2.1062622,5.4956207
466,2.1174774,5.4902954
467,2.1407623,5.501251
468,2.1424408,5.511734
469,2.1313324,5.501816
470,2.1372375,5.491043
471,2.1345978,5.479538
472,2.137497,5.4736023
473,2.142685,5.4645996
474,2.1572266,5.462845
475,2.1674042,5.458252
476,2.16008,5.4414673
477,2.1511993,5.446213
478,2.1600494,5.459793
479,2.1510925,5.45903
480,2.1848145,5.464676
481,2.169098,5.441437
482,2.180191,5.4348755
483,2.1738281,5.409256
484,2.1858368,5.4136047
485,2.175064,5.4041443
486,2.145401,5.3796234
487,2.1331635,5.3572235
488,2.145172,5.357895
489,2.1647491,5.3733215
490,2.152771,5.348419
491,2.138794,5.329956
492,2.1365204,5.318634
493,2.1185303,5.283478
494,2.0960999,5.264969
495,2.0806732,5.2457275
496,2.082611,5.233444
497,2.092041,5.214157
498,2.0919647,5.1870728
499,2.087677,5.173538
500,2.0900574,5.1633606
501,2.0717163,5.1380463
502,2.0817108,5.123764
503,2.089569,5.1112823
504,2.0862885,5.10849
505,2.0733643,5.074539
506,2.0716858,5.0578613
507,2.08313,5.0496216
508,2.0864716,5.0345154
509,2.0626068,4.9998474
510,2.0531158,4.9818726
511,2.0369568,4.97287
512,2.0227203,4.95401
513,2.0113983,4.9034424
514,2.0118256,4.8869324
515,2.0302887,4.8918915
516,2.0202942,4.8701935
517,2.000229,4.8242188
518,1.9966431,4.812134
519,2.011383,4.811157
520,2.002121,4.807968
521,2.0022736,4.790848
522,1.994812,4.7641754
523,1.99086,4.7533875
524,2.0009766,4.7424927
525,2.0150757,4.7196045
526,2.0170593,4.709717
527,2.012848,4.6999664
528,2.0175781,4.676483
529,2.0108948,4.66066
530,2.0104828,4.647049
531,2.0067902,4.6477356
532,2.003067,4.6462555
533,2.0124817,4.653076
534,2.0240936,4.6515656
535,2.0114136,4.6358337
536,2.02182,4.627121
537,2.0287933,4.623413
538,2.0326843,4.6225433
539,2.039322,4.6229095
540,2.0535583,4.6200104
541,2.0789032,4.6401367
542,2.100769,4.6707153
543,2.117096,4.684265
544,2.1202545,4.682892
545,2.1340637,4.701126
546,2.129898,4.702194
547,2.1412354,4.713852
548,2.136734,4.7072144
549,2.1471863,4.731125
550,2.1511078,4.7395325
551,2.1510468,4.7612762
552,2.1819763,4.783539
553,2.1844025,4.7891693
554,2.2129211,4.796631
555,2.2174835,4.802429
556,2.2022095,4.817978
557,2.2349854,4.8433228
558,2.2327423,4.83873
559,2.220047,4.8407135
560,2.2215118,4.8358
561,2.2086792,4.8479767
562,2.2037811,4.8498993
563,2.2138367,4.8742676
564,2.1946106,4.8743134
565,2.1986694,4.880722
566,2.2026215,4.8696136
567,2.1999207,4.8578644
568,2.224762,4.8499603
569,2.214096,4.849533
570,2.2182922,4.856964
571,2.2238007,4.8533783
572,2.2092285,4.858444
573,2.2057953,4.843628
574,2.1863708,4.826309
575,2.1936035,4.8281097
576,2.1756897,4.8149567
577,2.1795197,4.8052826
578,2.170578,4.798813
579,2.168396,4.785263
580,2.1574402,4.774719
581,2.148407,4.7563477
582,2.1508179,4.7414703
583,2.1558533,4.757416
584,2.1526947,4.745392
585,2.1407928,4.7231903
586,2.1315765,4.6911163
587,2.1277008,4.683182
588,2.1392212,4.6822815
589,2.1265564,4.6591034
590,2.1179352,4.639145
591,2.1134033,4.6206665
592,2.1039581,4.609619
593,2.1022491,4.6036377
594,2.1072845,4.6089935
595,2.114273,4.6042175
596,2.0903168,4.589035
597,2.0921936,4.5753784
598,2.0843506,4.569931
599,2.0919037,4.5640717
600,2.0701904,4.5335693
601,2.0713348,4.5356903
602,2.0603943,4.5147705
603,2.049881,4.505844
604,2.0543976,4.5011444
605,2.0571594,4.4924927
606,2.060791,4.482422
607,2.0489197,4.470764
608,2.0500793,4.4751587
609,2.03508,4.463562
610,2.0343628,4.4700623
611,2.0340118,4.47171
612,2.0501099,4.4879303
613,2.0489502,4.5021057
614,2.0568542,4.5058746
615,2.0550385,4.4987793
616,2.0575256,4.499069
617,2.0522919,4.4910736
618,2.0612183,4.480316
619,2.0463104,4.47789
620,2.054779,4.482437
621,2.0685272,4.5051727
622,2.0706482,4.505234
623,2.0714722,4.513611
624,2.08107,4.5020447
625,2.0605164,4.4900665
626,2.0571136,4.477127
627,2.0567474,4.4846497
628,2.0691528,4.489914
629,2.0680695,4.4866486
630,2.055069,4.482025
631,2.061615,4.485626
632,2.0704193,4.490402
633,2.0637054,4.4807587
634,2.0753326,4.4976196
635,2.0702362,4.485443
636,2.0670624,4.479141
637,2.0701904,4.495331
638,2.085678,4.5106354
639,2.1010895,4.529114
640,2.1124573,4.5428314
641,2.105194,4.538254
642,2.0977325,4.5486145
643,2.0837402,4.540863
644,2.0703125,4.5480194
645,2.081253,4.545456
646,2.0891418,4.55513
647,2.083084,4.5670013
648,2.0867462,4.573715
649,2.0936127,4.5820312
650,2.0877228,4.574417
651,2.0947418,4.5710754
652,2.099762,4.587845
653,2.1199493,4.6055756
654,2.116455,4.618469
655,2.1121216,4.622162
656,2.1027374,4.6159515
657,2.1038055,4.6129913
658,2.1097565,4.618454
659,2.1063538,4.6129456
660,2.108429,4.618698
661,2.109497,4.6305237
662,2.1047058,4.6301575
663,2.1101532,4.6342926
664,2.1183777,4.646225
665,2.1053162,4.641815
666,2.0908356,4.647873
667,2.103653,4.653763
668,2.104004,4.6612244
669,2.1223602,4.6775513
670,2.117035,4.680359
671,2.1384583,4.6951904
672,2.1487732,4.709015
673,2.142807,4.7189636
674,2.1599274,4.737213
675,2.1625977,4.7400208
676,2.1710663,4.7568054
677,2.1637878,4.771179
678,2.1767883,4.79039
679,2.1836853,4.7964478
680,2.1886597,4.8028107
681,2.2112427,4.8241425
682,2.2404022,4.8544006
683,2.230545,4.8576965
684,2.2297516,4.8660126
685,2.2450714,4.869858
686,2.2376862,4.8744507
687,2.2462006,4.9000854
688,2.2607727,4.925888
689,2.2569122,4.9387207
690,2.271225,4.969284
691,2.2725372,4.970886
692,2.2710419,4.969986
693,2.2822266,4.9855957
694,2.27919,4.995865
695,2.2911224,5.0188446
696,2.3083496,5.037735
697,2.3119812,5.044571
698,2.3166656,5.0657196
699,2.3241425,5.0884247
700,2.3125763,5.095169
701,2.3260956,5.108307
702,2.3314056,5.116028
703,2.3506775,5.1397247
704,2.3546753,5.1514587
705,2.3588867,5.1625366
706,2.3599396,5.172394
707,2.3646088,5.174179
708,2.3659668,5.1893005
709,2.3692017,5.2022705
710,2.3625183,5.2119293
711,2.3740692,5.226822
712,2.3755035,5.235504
713,2.3771973,5.241684
714,2.384903,5.2488403
715,2.3839722,5.26593
716,2.392517,5.2766876
717,2.3955383,5.295044
718,2.3925323,5.3034515
719,2.4022675,5.31752
720,2.4052124,5.318863
721,2.4056396,5.3399963
722,2.4064636,5.3529053
723,2.4090729,5.3648224
724,2.407486,5.369751
725,2.412613,5.3694763
726,2.411209,5.3848724
727,2.415207,5.4050903
728,2.422104,5.4194794
729,2.4236908,5.426422
730,2.427414,5.435013
731,2.4284058,5.4392395
732,2.4206238,5.453644
733,2.4158936,5.4510956
734,2.4150696,5.4624176
735,2.4146729,5.473419
736,2.40477,5.4730225
737,2.4059296,5.478485
738,2.3911438,5.4787903
739,2.3946228,5.4873505
740,2.3900452,5.494049
741,2.3948517,5.5052185
742,2.3914032,5.5046844
743,2.3834076,5.5187836
744,2.382431,5.5273743
745,2.3862152,5.527481
746,2.3802795,5.5328064
747,2.384781,5.5497284
748,2.3808289,5.5537415
749,2.3657227,5.550949
750,2.3612518,5.5477753
751,2.3580933,5.546982
752,2.3665924,5.5614777
753,2.3737183,5.5649414
754,2.3784637,5.5646057
755,2.3829346,5.5691223
756,2.3727722,5.5644073
757,2.3617096,5.558975
758,2.3594055,5.560211
759,2.3524933,5.560959
760,2.346939,5.5648956
761,2.3513947,5.5770264
762,2.3407288,5.5668945
763,2.3441925,5.567398
764,2.3299103,5.572098
765,2.3151093,5.5634155
766,2.315567,5.5748596
767,2.309311,5.578949
768,2.4842224,5.787674
769,2.4678497,5.82222
770,2.4564667,5.840576
771,2.4434357,5.8504486
772,2.4246063,5.823715
773,2.4112854,5.7935333
774,2.4021606,5.7867584
775,2.3852997,5.799881
776,2.391739,5.7876434
777,2.3749847,5.7737885
778,2.3838654,5.7783356
779,2.3688965,5.766815
780,2.30513,5.7212067
781,2.2987213,5.7322693
782,2.2967834,5.7214355
783,2.292328,5.713913
784,2.2767944,5.6775513
785,2.2764893,5.6688843
786,2.257965,5.646866
787,2.2331238,5.6314087
788,2.2243347,5.6395264
789,2.2138367,5.6293488
790,2.202362,5.6116486
791,2.191162,5.59816
792,2.1789246,5.5852814
